name,parent,value
Origin,,
foundation,Origin,14.281959752685424
salt,Origin,13.217558399823195
myth,Origin,8.12415060330663
influence,Origin,6.608779199911598
deterrent,Origin,6.0447090616267936
building,Origin,5.497744391244931
campaigns,Origin,5.41610040220442
sign,Origin,5.287023359929278
choose,Origin,5.287023359929278
anti,Origin,4.828313737302301
beloved,Origin,4.029806041084529
substitute,Origin,4.029806041084529
dismantle,Origin,4.029806041084529
bureaucracy,Origin,4.029806041084529
submarines,Origin,4.029806041084529
israel,Origin,3.9652675199469583
trust,Origin,3.6651629274966204
enough,Origin,3.5757793663619353
farm,Origin,3.2958368660043287
hospital,Origin,3.2958368660043287
deepest,Origin,3.2188758248682006
reorganization,Origin,3.2188758248682006
super,Origin,3.2188758248682006
spread,Origin,3.2188758248682006
negotiation,Origin,3.2188758248682006
ve,Origin,3.1015492830383944
fight,Origin,3.048560208187587
responsible,Origin,3.048560208187587
none,Origin,2.7488721956224653
importantly,Origin,2.70805020110221
modified,Origin,2.70805020110221
reshaped,Origin,2.70805020110221
succeeding,Origin,2.70805020110221
firmer,Origin,2.70805020110221
inherit,Origin,2.70805020110221
myths,Origin,2.70805020110221
endlessly,Origin,2.70805020110221
contriving,Origin,2.70805020110221
unworkable,Origin,2.70805020110221
competence,Origin,2.70805020110221
capitulation,Origin,2.70805020110221
wracked,Origin,2.70805020110221
compulsion,Origin,2.70805020110221
supportive,Origin,2.70805020110221
habits,Origin,2.70805020110221
unwinding,Origin,2.70805020110221
lack,Origin,2.70805020110221
contributor,Origin,2.70805020110221
clearer,Origin,2.70805020110221
processes,Origin,2.70805020110221
fed,Origin,2.70805020110221